input_smiles,smiles,tanimoto,MW,LogP,TPSA,HBD,HBA,QED
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.9074,401.91300000000007,4.395000000000004,35.91,0,3,0.6891548919101526
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CCl)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.9074,408.30400000000014,4.181300000000003,35.91,0,3,0.5312250854024151
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CCBr)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.9074,466.7820000000001,4.379900000000004,35.91,0,3,0.5678483425759717
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,BCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8909,385.67900000000014,2.5756000000000006,35.91,0,3,0.7166452310815956
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CS)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8909,405.9260000000001,3.8723000000000027,35.91,1,4,0.5845845342159334
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CO)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8909,389.8580000000001,2.934800000000002,56.14,1,4,0.7727111058781274
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CP)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8909,405.84100000000007,3.817600000000004,35.91,0,3,0.684912568399456
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CCCl)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8909,422.3310000000001,4.223800000000003,35.91,0,3,0.6267539076861891
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CC)CCCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.8889,401.91300000000007,4.395000000000004,35.91,0,3,0.6891548919101526
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc2nc(-c3ccc(O)cc3)c(CC(=O)N(C)C)n2c1,0.8837,309.369,2.64602,57.84,1,3,0.8089586802472982
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,CCN(CCS)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,0.875,419.95300000000003,3.9148000000000023,35.91,1,4,0.6904037711872504
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc2nc(-c3ccc(S)cc3)c(CC(=O)N(C)C)n2c1,0.8636,325.43700000000007,3.2291200000000018,37.61,1,3,0.7508652632579431
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc2nc(-c3ccc(P)cc3)c(CC(=O)N(C)C)n2c1,0.8636,325.35200000000003,2.4408200000000004,37.61,0,2,0.6938187724719348
