input_smiles,smiles,tanimoto
COc1cc(CCN)cc(SCC(C)C)c1OC,BOc1cc(CCN)cc(SCC(C)C)c1OC,0.8462
COc1cc(CCN)cc(SCC(C)C)c1OC,COOc1cc(CCN)cc(SCC(C)C)c1OC,0.8462
COc1cc(CCN)cc(SCC(C)C)c1OC,COc1cc(CCN)cc(SCC(C)C)c1ON,0.8462
COc1cc(CCN)cc(SCC(C)C)c1OC,BOc1c(OC)cc(CCN)cc1SCC(C)C,0.8462
COc1cc(CCN)cc(SCC(C)C)c1OC,COc1c(O[O-])cc(CCN)cc1SCC(C)C,0.8462
COc1cc(CCN)cc(SCC(C)C)c1OC,COc1c(ON)cc(CCN)cc1SCC(C)C,0.8462
COc1cc(C(C)N)cc(SCCC(C)C)c1OC,COc1cc(C(C)N)cc(SCCC(C)C)c1ON,0.8462
COc1cc(C(C)N)cc(SCCC(C)C)c1OC,COc1c(O[S-])cc(C(C)N)cc1SCCC(C)C,0.8462
COc1cc(C(C)N)cc(SCCC(C)C)c1OC,COc1cc(C(C)N)cc(SCCC(C)C)c1O[S-],0.8462
COc1cc(C(C)N)cc(SCCC(C)C)c1OC,COc1c(ON)cc(C(C)N)cc1SCCC(C)C,0.8462
COc1c(C(C)C)cc(C(C)N)cc1C(C)C,COc1c(C(C)C)cc(C(C)N)cc1C(C)[O+],0.8462
COc1c(C(C)C)cc(C(C)N)cc1C(C)C,COc1c(C(C)C)cc(C(C)N)cc1C(C)Cl,0.8462
COc1cc(C(C)N)cc(OC)c1OC,COc1cc(C(C)N)cc(ON)c1OC,0.8462
COc1cc(C(C)N)cc(OC)c1OC,COc1cc(C(C)N)cc(O[S-])c1OC,0.8462
COc1cc(OC)c(C(C)N)c(OC)c1,COc1cc(OC)c(C(C)N)c(ON)c1,0.8462
COc1cc(OC)c(C(C)N)c(OC)c1,BOc1cc(OC)cc(OC)c1C(C)N,0.8462
COC1=CCCC2CCSC(=C1OC)C=C2CCN,BOC1=CCCC2CCSC(=C1OC)C=C2CCN,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,COC1=CCCC2CCSC(=C1O[S+])C=C2CCN,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,COC1=CCCC2CCSC(=C1O[P+])C=C2CCN,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,[B+]OC1=C2C=C(CCN)C(CCC=C1OC)CCS2,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,COC1=C2C=C(CCN)C(CCC=C1O[P+])CCS2,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,[C-]OC1=C2C=C(CCN)C(CCC=C1OC)CCS2,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,COC1=CCCC2CCSC(=C1O[S-])C=C2CCN,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,COC1=C2C=C(CCN)C(CCC=C1OP)CCS2,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,COC1=C2C=C(CCN)C(CCC=C1O[N+])CCS2,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,[C+]OC1=CCCC2CCSC(=C1OC)C=C2CCN,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,[C+]OC1=C2C=C(CCN)C(CCC=C1OC)CCS2,0.8444
COC1=CCCC2CCSC(=C1OC)C=C2CCN,COC1=C2C=C(CCN)C(CCC=C1OS)CCS2,0.8444
